rank,prev_rank,name,league,off,def,spi
333,325,Heerenveen,Dutch Eredivisie,1.57,1.87,40.09
334,367,Hammarby,Swedish Allsvenskan,1.2,1.44,40.04
335,343,Videoton FC,UEFA Europa League,1.12,1.35,40.04
336,345,Atlas,Mexican Primera Division Torneo Apertura,1.07,1.29,40.03
337,355,1. FC Union Berlin,German 2. Bundesliga,1.14,1.37,40.0
338,329,Tondela,Portuguese Liga,1.16,1.39,39.97
339,331,AGF Aarhus,Danish SAS-Ligaen,1.1,1.33,39.92
340,352,Arizona United,United Soccer League,1.33,1.61,39.87
341,320,Aldosivi,Argentina Primera Division,1.1,1.33,39.77
342,332,Dalian Aerbin,Chinese Super League,1.18,1.44,39.74
343,330,Portland Timbers,Major League Soccer,1.3,1.59,39.64
344,326,Kayserispor,Turkish Turkcell Super Lig,1.17,1.43,39.51
345,308,AaB,Danish SAS-Ligaen,0.99,1.22,39.49
346,351,Los Angeles Galaxy,Major League Soccer,1.51,1.83,39.39
347,333,Ipswich Town,English League Championship,1.02,1.26,39.39
348,346,GIF Sundsvall,Swedish Allsvenskan,1.2,1.48,39.37
349,336,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.23,1.51,39.2
350,356,Lobos de la BUAP,Mexican Primera Division Torneo Apertura,1.15,1.43,38.98
351,350,Gimnasia La Plata,Argentina Primera Division,1.02,1.28,38.96
352,338,Bolton,English League Championship,1.05,1.33,38.76
353,354,Palermo,Italy Serie B,1.09,1.38,38.74
354,311,Djurgardens IF,Swedish Allsvenskan,1.17,1.47,38.69
355,349,Montreal Impact,Major League Soccer,1.17,1.47,38.63
356,400,Anzhi Makhachkala,Russian Premier Liga,1.13,1.44,38.57
357,401,Panionios,Greek Super League,0.96,1.22,38.56
358,360,Giannina,Greek Super League,1.05,1.34,38.52
359,374,Rotherham United,English League Championship,1.09,1.39,38.33
360,384,Odense BK,Danish SAS-Ligaen,1.17,1.49,38.3
361,328,Tianjin Quanujian,Chinese Super League,1.13,1.44,38.25
362,371,Henan Jianye,Chinese Super League,1.07,1.37,38.25
363,370,ADO Den Haag,Dutch Eredivisie,1.44,1.82,38.14
364,347,Sunderland,English League One,1.25,1.6,38.08
365,342,Ankaragucu,Turkish Turkcell Super Lig,1.05,1.36,38.02
366,358,San Martin de Tucuman,Argentina Primera Division,1.05,1.36,38.0
367,365,Orange County SC,United Soccer League,1.46,1.86,37.95
368,364,F91 Dudelange,UEFA Europa League,1.37,1.76,37.91
369,369,Hearts,Scottish Premiership,1.01,1.32,37.9
370,378,DC United,Major League Soccer,1.35,1.73,37.81
371,376,Tianjin Teda,Chinese Super League,1.13,1.47,37.73
372,409,Shimizu S-Pulse,Japanese J League,1.26,1.63,37.7
373,394,Le Havre,French Ligue 2,0.84,1.12,37.54
374,377,San Martin San Juan,Argentina Primera Division,1.09,1.43,37.44
375,396,Kilmarnock,Scottish Premiership,1.14,1.5,37.43
376,404,Chongqing Lifan,Chinese Super League,1.11,1.47,37.43
377,381,Holstein Kiel,German 2. Bundesliga,1.28,1.66,37.4
378,373,FC Groningen,Dutch Eredivisie,1.16,1.53,37.36
379,372,Arminia Bielefeld,German 2. Bundesliga,1.15,1.52,37.35
380,335,Lorient,French Ligue 2,1.0,1.34,37.3
381,361,Paraná,Brasileiro Série A,0.93,1.24,37.26
382,363,VVV Venlo,Dutch Eredivisie,1.05,1.4,37.14
383,362,Kaizer Chiefs,South African ABSA Premier League,0.95,1.28,37.11
384,388,Sporting Gijón,Spanish Segunda Division,0.98,1.32,37.09
385,399,Stromsgodset,Norwegian Tippeligaen,1.37,1.8,37.01
386,359,Lens,French Ligue 2,0.93,1.27,36.9
387,380,Houston Dynamo,Major League Soccer,1.2,1.6,36.83
388,395,Granada,Spanish Segunda Division,1.15,1.54,36.81
389,383,Newcastle Jets,Australian A-League,1.33,1.77,36.76
390,386,Sarpsborg,Norwegian Tippeligaen,1.29,1.73,36.4
391,379,New England Revolution,Major League Soccer,1.22,1.66,36.34
392,357,Sonderjyske,Danish SAS-Ligaen,1.14,1.55,36.27
393,402,Peterborough United,English League One,1.38,1.87,35.92
394,382,Fortuna Sittard,Dutch Eredivisie,1.25,1.71,35.82
395,411,Excelsior,Dutch Eredivisie,1.3,1.78,35.74
396,393,Metallurg Krasnoyarsk,Russian Premier Liga,1.0,1.41,35.7
397,438,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.19,1.65,35.7
398,375,SV Zulte Waregem,Belgian Jupiler League,1.41,1.92,35.55
399,397,FC Spartak Trnava,UEFA Europa League,0.89,1.28,35.49
400,418,Gamba Osaka,Japanese J League,1.09,1.54,35.37
401,425,AD Alcorcon,Spanish Segunda Division,0.75,1.1,35.34
402,433,PEC Zwolle,Dutch Eredivisie,1.15,1.61,35.34
403,385,Sagan Tosu,Japanese J League,0.82,1.19,35.26
404,403,Odd BK,Norwegian Tippeligaen,1.07,1.53,35.17
405,368,FC Tokyo,Japanese J League,0.89,1.3,35.03
406,413,Crotone,Italy Serie B,1.12,1.59,34.95
407,417,Real Zaragoza,Spanish Segunda Division,1.09,1.56,34.94
408,435,Bidvest Wits,South African ABSA Premier League,0.91,1.33,34.92
409,416,SV Mattersburg,Austrian T-Mobile Bundesliga,1.3,1.84,34.84
410,410,KSC Lokeren,Belgian Jupiler League,1.05,1.52,34.76
411,408,Guizhou Hengfeng Zhicheng,Chinese Super League,1.16,1.66,34.74
412,389,Cercle Brugge,Belgian Jupiler League,1.09,1.59,34.52
413,424,Jahn Regensburg,German 2. Bundesliga,1.23,1.77,34.45
414,406,Panetolikos,Greek Super League,0.99,1.46,34.41
415,390,Vegalta Sendai,Japanese J League,1.2,1.73,34.33
416,431,Patronato,Argentina Primera Division,0.96,1.43,34.24
417,422,Krylia Sovetov,Russian Premier Liga,0.97,1.44,34.23
418,420,Troyes,French Ligue 2,0.97,1.45,34.23
419,414,Dynamo Dresden,German 2. Bundesliga,1.03,1.52,34.18
420,412,Aberdeen,Scottish Premiership,0.88,1.33,34.16
421,405,FC Ingolstadt 04,German 2. Bundesliga,1.12,1.64,34.14
422,392,Veracruz,Mexican Primera Division Torneo Apertura,1.02,1.51,34.09
423,421,Haugesund,Norwegian Tippeligaen,1.08,1.59,34.04
