rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.98,0.23,93.72
2,3,Barcelona,Spanish Primera Division,3.16,0.39,92.6
3,2,Bayern Munich,German Bundesliga,3.03,0.38,91.91
4,4,Real Madrid,Spanish Primera Division,3.05,0.39,91.89
5,5,Liverpool,Barclays Premier League,2.74,0.33,90.64
6,6,Juventus,Italy Serie A,2.64,0.32,90.11
7,7,Paris Saint-Germain,French Ligue 1,3.02,0.5,90.04
8,8,Atletico Madrid,Spanish Primera Division,2.24,0.28,87.25
9,9,Chelsea,Barclays Premier League,2.47,0.47,85.84
10,10,Tottenham Hotspur,Barclays Premier League,2.44,0.52,84.5
11,11,Napoli,Italy Serie A,2.29,0.45,84.24
12,16,Borussia Dortmund,German Bundesliga,2.41,0.65,81.46
13,12,Sevilla FC,Spanish Primera Division,2.41,0.66,81.34
14,15,Internazionale,Italy Serie A,2.23,0.55,81.31
15,14,Arsenal,Barclays Premier League,2.53,0.76,80.9
16,17,Valencia,Spanish Primera Division,2.06,0.5,80.05
17,13,Manchester United,Barclays Premier League,2.21,0.61,79.78
18,20,Ajax,Dutch Eredivisie,2.5,0.81,79.43
19,23,AS Roma,Italy Serie A,2.3,0.7,79.17
20,22,Young Boys,Swiss Raiffeisen Super League,2.69,1.0,78.22
21,18,FC Porto,Portuguese Liga,2.22,0.69,78.13
22,19,PSV,Dutch Eredivisie,2.68,1.02,77.79
23,33,FC Salzburg,Austrian T-Mobile Bundesliga,2.5,0.9,77.69
24,25,AC Milan,Italy Serie A,2.14,0.66,77.67
25,27,Getafe,Spanish Primera Division,1.83,0.47,77.39
26,26,Real Betis,Spanish Primera Division,1.88,0.5,77.38
27,28,Espanyol,Spanish Primera Division,1.87,0.53,76.51
28,24,Lyon,French Ligue 1,2.12,0.71,76.32
29,29,Villarreal,Spanish Primera Division,2.03,0.68,75.71
30,21,Lazio,Italy Serie A,2.2,0.79,75.7
31,32,Benfica,Portuguese Liga,2.1,0.72,75.69
32,35,PAOK Salonika,Greek Super League,2.06,0.69,75.68
33,30,Real Sociedad,Spanish Primera Division,2.06,0.7,75.41
34,34,Shakhtar Donetsk,UEFA Champions League,2.23,0.84,74.96
35,41,Club Brugge,Belgian Jupiler League,2.39,0.96,74.86
36,31,Eibar,Spanish Primera Division,1.82,0.58,74.58
37,37,Atalanta,Italy Serie A,2.01,0.71,74.47
38,40,CSKA Moscow,Russian Premier Liga,1.85,0.61,74.23
39,49,RB Leipzig,German Bundesliga,2.23,0.9,73.75
40,38,Dynamo Kiev,UEFA Europa League,2.08,0.81,73.46
41,43,Fiorentina,Italy Serie A,1.94,0.72,73.19
42,44,Athletic Bilbao,Spanish Primera Division,1.96,0.73,73.19
43,39,Bayer Leverkusen,German Bundesliga,2.22,0.94,72.64
44,51,Leicester City,Barclays Premier League,1.96,0.76,72.61
45,55,FC Krasnodar,Russian Premier Liga,1.89,0.72,72.3
46,47,Girona FC,Spanish Primera Division,1.92,0.74,72.27
47,45,TSG Hoffenheim,German Bundesliga,2.13,0.92,71.6
48,46,Celta Vigo,Spanish Primera Division,2.06,0.88,71.51
49,48,Leganes,Spanish Primera Division,1.81,0.7,71.25
50,42,Marseille,French Ligue 1,2.03,0.87,71.09
51,50,Alavés,Spanish Primera Division,1.82,0.73,70.76
52,54,Schalke 04,German Bundesliga,1.81,0.73,70.44
53,53,Galatasaray,Turkish Turkcell Super Lig,2.12,0.97,70.41
54,36,Zenit St Petersburg,Russian Premier Liga,1.88,0.8,70.18
55,56,Watford,Barclays Premier League,1.85,0.78,70.01
56,65,AEK Athens,Greek Super League,1.71,0.71,69.26
57,57,Palmeiras,Brasileiro Série A,1.66,0.69,68.8
58,72,Torino,Italy Serie A,1.7,0.73,68.45
59,69,Sporting CP,Portuguese Liga,1.78,0.8,68.36
60,82,Eintracht Frankfurt,German Bundesliga,1.85,0.85,68.32
61,58,Real Valladolid,Spanish Primera Division,1.75,0.79,68.0
62,52,Olympiacos,Greek Super League,1.87,0.89,67.88
63,59,Crystal Palace,Barclays Premier League,1.81,0.84,67.86
64,67,Wolverhampton,Barclays Premier League,1.73,0.78,67.85
65,62,SD Huesca,Spanish Primera Division,1.85,0.89,67.31
66,64,Besiktas,Turkish Turkcell Super Lig,1.97,0.99,67.28
67,68,Grêmio,Brasileiro Série A,1.55,0.66,67.27
68,74,Guangzhou Evergrande,Chinese Super League,2.13,1.12,67.13
69,61,Rayo Vallecano,Spanish Primera Division,1.88,0.93,66.96
70,80,Everton,Barclays Premier League,1.8,0.88,66.7
71,70,Borussia Monchengladbach,German Bundesliga,2.06,1.09,66.65
72,60,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.75,0.85,66.54
73,71,Werder Bremen,German Bundesliga,1.88,0.95,66.45
74,73,Southampton,Barclays Premier League,1.76,0.87,66.17
75,78,Levante,Spanish Primera Division,1.99,1.06,66.08
76,63,Newcastle,Barclays Premier League,1.63,0.78,65.93
77,76,AS Monaco,French Ligue 1,1.79,0.91,65.91
78,77,Ludogorets,UEFA Europa League,1.76,0.89,65.61
79,66,Spartak Moscow,Russian Premier Liga,1.65,0.81,65.57
80,79,Sampdoria,Italy Serie A,1.78,0.91,65.55
81,81,Genk,Belgian Jupiler League,2.02,1.11,65.45
82,90,West Ham United,Barclays Premier League,1.79,0.93,65.3
83,75,Red Star Belgrade,UEFA Champions League,2.0,1.12,64.74
84,86,AFC Bournemouth,Barclays Premier League,1.92,1.07,64.58
85,84,Feyenoord,Dutch Eredivisie,2.18,1.28,64.51
86,94,FC Augsburg,German Bundesliga,1.87,1.03,64.49
87,85,VfB Stuttgart,German Bundesliga,1.72,0.91,64.44
88,89,Sassuolo,Italy Serie A,1.79,1.0,63.48
89,111,Braga,Portuguese Liga,1.76,0.99,63.43
90,99,Hertha Berlin,German Bundesliga,1.81,1.02,63.43
91,91,Stade Rennes,French Ligue 1,1.55,0.81,63.39
92,108,Lille,French Ligue 1,1.69,0.93,63.38
93,92,Internacional,Brasileiro Série A,1.48,0.75,63.36
94,107,Montpellier,French Ligue 1,1.48,0.76,63.22
95,88,Brighton and Hove Albion,Barclays Premier League,1.71,0.96,63.15
96,100,São Paulo,Brasileiro Série A,1.53,0.8,63.06
97,98,St Etienne,French Ligue 1,1.65,0.91,63.06
98,96,Boca Juniors,Argentina Primera Division,1.67,0.92,63.04
99,95,FC Midtjylland,Danish SAS-Ligaen,1.96,1.17,62.9
100,102,Mainz,German Bundesliga,1.62,0.9,62.48
101,114,River Plate,Argentina Primera Division,1.6,0.89,62.47
102,103,VfL Wolfsburg,German Bundesliga,1.73,1.0,62.39
103,97,Nice,French Ligue 1,1.58,0.89,61.96
104,110,Shanghai SIPG,Chinese Super League,1.87,1.14,61.89
105,126,AIK,Swedish Allsvenskan,1.55,0.88,61.72
106,87,AZ,Dutch Eredivisie,2.05,1.31,61.62
107,119,Standard Liege,Belgian Jupiler League,1.81,1.1,61.52
108,116,Lokomotiv Moscow,Russian Premier Liga,1.52,0.86,61.4
109,113,Flamengo,Brasileiro Série A,1.53,0.87,61.22
110,101,Viktoria Plzen,UEFA Champions League,1.89,1.19,61.05
111,104,Fulham,Barclays Premier League,1.75,1.08,60.93
112,83,Fenerbahce,Turkish Turkcell Super Lig,1.85,1.17,60.89
113,106,Burnley,Barclays Premier League,1.67,1.01,60.87
114,93,Anderlecht,Belgian Jupiler League,1.74,1.09,60.65
115,121,Atletico Mineiro,Brasileiro Série A,1.69,1.04,60.58
116,109,Angers,French Ligue 1,1.47,0.86,60.24
117,118,West Bromwich Albion,English League Championship,1.8,1.16,60.07
118,122,Genoa,Italy Serie A,1.66,1.04,59.83
119,127,Nantes,French Ligue 1,1.51,0.91,59.77
120,124,Strasbourg,French Ligue 1,1.52,0.93,59.71
121,120,Stoke City,English League Championship,1.73,1.12,59.68
122,115,Udinese,Italy Serie A,1.56,0.96,59.66
123,105,FC Copenhagen,Danish SAS-Ligaen,1.85,1.22,59.61
124,129,Middlesbrough,English League Championship,1.42,0.85,59.48
125,112,Hannover 96,German Bundesliga,1.73,1.13,59.46
126,138,Trabzonspor,Turkish Turkcell Super Lig,1.9,1.29,59.06
127,123,Basel,Swiss Raiffeisen Super League,2.01,1.4,58.83
128,140,Tigres UANL,Mexican Primera Division Torneo Apertura,1.44,0.89,58.64
129,134,1. FC Nürnberg,German Bundesliga,1.58,1.02,58.62
130,143,Dinamo Zagreb,UEFA Europa League,1.54,0.99,58.6
131,117,SC Freiburg,German Bundesliga,1.74,1.17,58.49
132,128,Bordeaux,French Ligue 1,1.47,0.93,58.49
133,137,Cardiff City,Barclays Premier League,1.56,1.01,58.45
134,130,Huddersfield Town,Barclays Premier League,1.44,0.92,58.22
135,131,Toulouse,French Ligue 1,1.48,0.95,58.19
136,146,Guingamp,French Ligue 1,1.55,1.02,57.95
137,135,Club América,Mexican Primera Division Torneo Apertura,1.56,1.04,57.92
138,136,Dijon FCO,French Ligue 1,1.61,1.09,57.61
139,133,Kawasaki Frontale,Japanese J League,1.55,1.04,57.6
140,125,Brentford,English League Championship,1.58,1.07,57.46
141,145,Bologna,Italy Serie A,1.45,0.96,57.32
142,168,BK Hacken,Swedish Allsvenskan,1.76,1.25,57.3
143,148,Empoli,Italy Serie A,1.54,1.05,57.24
144,161,Rostov,Russian Premier Liga,1.19,0.73,57.2
145,132,Fortuna Düsseldorf,German Bundesliga,1.62,1.12,57.13
146,157,Racing Club,Argentina Primera Division,1.49,1.01,57.04
147,144,Cruzeiro,Brasileiro Série A,1.32,0.86,56.93
148,159,Leeds United,English League Championship,1.47,1.01,56.69
149,150,Cagliari,Italy Serie A,1.52,1.05,56.66
150,139,Santos,Brasileiro Série A,1.34,0.88,56.61
151,147,Spal,Italy Serie A,1.44,0.98,56.52
152,155,FC Astana,UEFA Europa League,1.66,1.2,56.25
153,141,Malmo FF,Swedish Allsvenskan,1.6,1.15,56.17
154,172,Sheffield United,English League Championship,1.5,1.05,56.09
155,149,Rubin Kazan,Russian Premier Liga,1.34,0.92,55.71
156,160,Caen,French Ligue 1,1.42,1.0,55.62
157,154,Atlético Paranaense,Brasileiro Série A,1.41,0.99,55.57
158,166,Monterrey,Mexican Primera Division Torneo Apertura,1.5,1.08,55.53
159,142,Nimes,French Ligue 1,1.56,1.14,55.37
160,153,CA Independiente,Argentina Primera Division,1.4,1.0,55.11
161,164,KAA Gent,Belgian Jupiler League,1.64,1.23,55.05
162,170,Reims,French Ligue 1,1.36,0.99,54.54
163,151,Atlanta United FC,Major League Soccer,1.7,1.31,54.53
164,156,Beijing Guoan,Chinese Super League,1.82,1.42,54.49
165,158,Aston Villa,English League Championship,1.49,1.13,54.11
166,187,Atromitos,Greek Super League,1.29,0.94,53.94
167,162,LASK Linz,Austrian T-Mobile Bundesliga,1.37,1.02,53.92
168,165,Parma,Italy Serie A,1.49,1.14,53.76
169,178,Jablonec,UEFA Europa League,1.43,1.09,53.67
170,173,Panathinaikos,Greek Super League,1.42,1.09,53.45
171,171,Celtic,Scottish Premiership,1.38,1.06,53.21
172,175,Urawa Red Diamonds,Japanese J League,1.64,1.32,53.1
173,167,Chievo Verona,Italy Serie A,1.48,1.16,53.02
174,174,Bahía,Brasileiro Série A,1.28,0.97,53.0
175,152,Rosenborg,Norwegian Tippeligaen,1.5,1.19,52.98
176,185,Corinthians,Brasileiro Série A,1.22,0.91,52.79
177,176,Amiens,French Ligue 1,1.35,1.04,52.78
178,183,Swansea City,English League Championship,1.36,1.06,52.77
179,184,Santos Laguna,Mexican Primera Division Torneo Apertura,1.53,1.23,52.5
180,177,Cruz Azul,Mexican Primera Division Torneo Apertura,1.36,1.08,52.18
181,180,Vitesse,Dutch Eredivisie,1.61,1.33,52.1
182,169,Dinamo Moscow,Russian Premier Liga,1.24,0.98,51.73
183,248,Kashima Antlers,Japanese J League,1.6,1.34,51.54
184,179,Kasimpasa,Turkish Turkcell Super Lig,1.77,1.53,51.33
185,191,FC Cologne,German 2. Bundesliga,1.66,1.42,51.27
186,186,Toluca,Mexican Primera Division Torneo Apertura,1.45,1.22,51.03
187,189,Fluminense,Brasileiro Série A,1.25,1.02,50.95
188,182,IFK Norrkoping,Swedish Allsvenskan,1.45,1.22,50.93
189,190,Bristol City,English League Championship,1.36,1.13,50.79
190,204,Pachuca,Mexican Primera Division Torneo Apertura,1.42,1.2,50.76
191,197,Derby County,English League Championship,1.32,1.11,50.51
192,208,Norwich City,English League Championship,1.37,1.17,50.4
193,206,Birmingham,English League Championship,1.34,1.13,50.39
194,163,Rapid Vienna,Austrian T-Mobile Bundesliga,1.43,1.23,50.39
195,222,Vasco da Gama,Brasileiro Série A,1.36,1.16,50.31
196,188,Konyaspor,Turkish Turkcell Super Lig,1.42,1.22,50.27
197,194,Botafogo,Brasileiro Série A,1.33,1.14,50.19
198,212,Velez Sarsfield,Argentina Primera Division,1.26,1.06,50.18
199,199,Melbourne Victory,Australian A-League,1.64,1.46,50.04
200,201,Defensa y Justicia,Argentina Primera Division,1.25,1.07,49.95
201,220,New York Red Bulls,Major League Soccer,1.49,1.31,49.89
202,181,Brondby,Danish SAS-Ligaen,1.7,1.53,49.69
203,193,Vorskla,UEFA Europa League,1.3,1.12,49.6
204,205,Sporting Kansas City,Major League Soccer,1.47,1.31,49.48
205,196,FC Zurich,Swiss Raiffeisen Super League,1.22,1.05,49.31
206,209,Sydney FC,Australian A-League,1.55,1.4,49.29
207,192,Thun,Swiss Raiffeisen Super League,1.65,1.5,49.28
208,203,Chapecoense AF,Brasileiro Série A,1.27,1.12,49.11
209,198,Tijuana,Mexican Primera Division Torneo Apertura,1.28,1.13,49.07
210,210,New York City FC,Major League Soccer,1.47,1.33,49.04
211,231,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.18,1.03,48.98
212,216,Guadalajara,Mexican Primera Division Torneo Apertura,1.34,1.2,48.91
213,195,Terek Grozny,Russian Premier Liga,1.25,1.11,48.9
214,253,FC Nordsjaelland,Danish SAS-Ligaen,1.46,1.33,48.85
215,221,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.55,1.41,48.85
216,223,Jiangsu Suning FC,Chinese Super League,1.34,1.21,48.84
217,200,Rangers,Scottish Premiership,1.69,1.56,48.84
218,215,BATE Borisov,UEFA Europa League,1.45,1.31,48.82
219,217,Frosinone,Italy Serie A,1.37,1.24,48.69
220,219,Antwerp,Belgian Jupiler League,1.28,1.15,48.65
221,213,Guimaraes,Portuguese Liga,1.31,1.18,48.62
222,218,Union Santa Fe,Argentina Primera Division,1.14,1.01,48.56
223,234,Goztepe,Turkish Turkcell Super Lig,1.35,1.23,48.5
224,226,Molde,Norwegian Tippeligaen,1.72,1.61,48.5
225,207,FC Arsenal Tula,Russian Premier Liga,1.35,1.23,48.32
226,254,Östersunds FK,Swedish Allsvenskan,1.45,1.35,48.07
227,233,Ceará,Brasileiro Série A,1.18,1.07,48.03
228,224,Akhisar Belediye,Turkish Turkcell Super Lig,1.36,1.27,47.81
229,245,Preston North End,English League Championship,1.35,1.26,47.63
230,232,Millwall,English League Championship,1.37,1.28,47.59
231,225,Shandong Luneng,Chinese Super League,1.42,1.34,47.58
232,202,Asteras Tripolis,Greek Super League,1.17,1.08,47.52
233,229,Málaga,Spanish Segunda Division,1.19,1.11,47.23
234,211,KV Oostende,Belgian Jupiler League,1.47,1.41,47.21
235,262,León,Mexican Primera Division Torneo Apertura,1.37,1.31,47.14
236,228,Pumas Unam,Mexican Primera Division Torneo Apertura,1.38,1.32,47.13
237,272,FC Sion,Swiss Raiffeisen Super League,1.63,1.58,47.12
238,239,Rio Ave,Portuguese Liga,1.27,1.2,46.99
239,243,St. Truidense,Belgian Jupiler League,1.19,1.13,46.97
